uic;name;lon;lat
1100081;Lörrach, Weinbrennerstrasse;7.658955;47.611754
1100082;Lörrach, Museum;7.659881;47.608976
1100083;Lörrach, Schillerstrasse;7.659615;47.606408
1100084;Lörrach-Stetten, Bahnhof;7.658953;47.601825
1100085;Lörrach-Stetten, Dammstrasse;7.656587;47.598931
1100086;Stetten (LÖ), Grenze;7.655817;47.595746
1100087;Herten (Baden), Markhof;7.715945;47.549996
1100088;Herten (Baden), St. Josefshaus;7.729183;47.555205
1100089;Ibach (D), Ibacher Kreuz;8.067199;47.742907
1100090;Ibach (D), Abzw. Lindau;8.034159;47.745239
1100091;Ibach (D), Abzw. Ibach;8.04578;47.747068
1100093;Ibach (D), Ibacher Kluse;8.099978;47.751899
1100094;Ibach (D), Unteribach Kirche;8.068163;47.734268
1100095;Ibach (D), Sägewerk;8.060007;47.743575
1100096;Ibach (D), Schaltenbuck;8.051211;47.743892
1100097;Schopfheim, Busbahnhof;7.82142;47.647853
1100098;Schopfheim, Friedhof;7.815024;47.647953
1100099;Gündenhausen;7.803675;47.647565
1100100;Maulburg, Firma Busch;7.788295;47.647606
1100101;Maulburg, Blostweg;7.78567;47.646512
1100102;Maulburg, Bahnhof;7.781373;47.64464
1100103;Maulburg, Rathaus;7.779173;47.641332
1100104;Maulburg, Berghöfe;7.771755;47.627801
1100105;St. Blasien, Busbahnhof;8.127102;47.761139
1100106;St. Blasien, Schwimmbad;8.12;47.768915
1100107;St. Blasien, Glashof;8.098427;47.782619
1100108;Minseln, Schlossstrasse;7.780321;47.608601
1100109;Minseln, Adler;7.78499;47.607517
1100110;Minseln, Feuerwehrhaus;7.790666;47.603114
1100111;Menzenschwand, Abzw M. Brücke;8.083467;47.792326
1100112;Bernau (Schw), Weierle Strasse;8.06928;47.794517
1100113;Bernau (Schw), Weierle;8.033536;47.808464
1100114;Unterlehen (Schw);8.062172;47.791588
1100115;Bernau (Schw), Gass;8.058365;47.797004
1100116;Oberlehen (Schw), Thomahaus;8.047053;47.78825
1100117;Bernau (Schw), Schwendele;8.010146;47.805884
1100118;Innerlehen (Schw), Rathaus;8.034268;47.802345
1100119;Bernau (Schw), Altenrond;8.052101;47.797756
1100120;Riggenbach (Schw);8.046139;47.801565
1100121;Riggenbach (Schw), Haus Kaiser;8.049949;47.802129
1100122;Menzenschwand, Mitteldorf;8.0709;47.823961
1100123;Menzenschwand, Vorderdorf;8.070155;47.81749
1100124;Menzenschwand, Hinterdorf;8.070029;47.829271
1100125;Bernau (Schw), Poche;8.021641;47.807265
1100126;Bernau (Schw), Goldbach;8.06716;47.795787
1100127;Rheinfelden (D), Haberbusch;7.779565;47.563878
1100128;Nollingen, Holbeinstrasse;7.776927;47.567543
1100129;Nollingen, Hebelhalle;7.77476;47.570408
1100130;Nollingen, Dürerstrasse;7.773574;47.573347
1100131;Nollingen, Sonne;7.770124;47.573058
1100132;Degerfelden, Wolfsgraben;7.756139;47.5701
1100133;Herrenschwand, Ort;7.953041;47.767659
1100134;Herrenschwand, Milchhäusle;7.967661;47.775687
1100135;Degerfelden, Sägemühle;7.731623;47.577749
1100136;Degerfelden, Hagenbach;7.728583;47.588523
1100137;Inzlingen, Waidhof;7.70255;47.600504
1100138;Lörrach, Ufhabiweg;7.675086;47.609683
1100139;Lörrach, Wallbrunnstrasse;7.670213;47.609769
1100140;Lörrach, Engelplatz;7.664597;47.610528
1100141;Lörrach, Kinderspielplatz;7.666574;47.613141
1100142;Lörrach, Untereckstrasse;7.670056;47.616185
1100143;Endenburg, Rathaus;7.736196;47.71303
1100144;Endenburg, Schule;7.743282;47.712217
1100145;Kirchhausen (Kr LÖ);7.75646;47.713656
1100146;Steinen (Kr LÖ), Lehnacker;7.761129;47.710693
1100147;Aitern, Belchenbahn Talstation;7.850853;47.821471
